# ARGs	A2	A5	A7	A9	A10	A11	A16	A17	A18	A19	A22	A23	B6	B8	B12	B28	B29	B30	B32	B34	B35a	B35b	B37	B39	B42	B44	B47	B49	B51	C53	C54	C57	C60	C62
bacA__Escherichia_coli_str__K-12_substr__MG1655_	0	151.2010725	0	162.0185874	0	0	466.2832371	10.07283617	0	226.9967076	472.3228596	0	0	390.92449	627.0502584	0	0	0	27.22775964	0	11.18406589	408.2458809	0	126.3072006	192.8043827	0	0	0	0	0	0	23.10495632	503.3718188	0
Escherichia_coli_PtsI_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	158.7611261	15.25576519	310.5356259	0	0	361.9830393	10.07283617	3.718780051	135.1170879	311.0418832	0	0	257.8438126	388.4985297	0	3.616293209	13.23961276	0	0	0	0	113.8547491	106.8753236	0	0	0	0	0	0	0	11.55247816	0	0
tet(B)__Gram-negative_bacterium_TC71_	11.45763406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.4449403	0.954531736	0	0	0	0	0	0	0	0	0	0	0	0
emrR__Escherichia_coli_str__K-12_substr__MG1655_	0	39.88202203	0	73.60521848	0	0	87.47758522	4.224092589	0	0	151.9313546	0	0	31.39201464	5.716446956	0	0	9.977679183	0	0	0	72.75995136	14.30059651	23.79700881	36.75156855	0	0	0	0	0	0	0	101.9061969	0
lsaC__Streptococcus_agalactiae_	0	0	0	0	0	0	4.197840777	0	0	0	0	0	0	0	0	79.16610228	0	0	0	0	0	0	0	0	0	0	0	6.487287901	0	0	0	0	0	0
tetR__Salmonella_enterica_subsp__enterica_serovar_Typhi_str__CT18_	17.2965286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59.2138827	0	0	0	0	0	0	0	0	0	0	0	0	0
mel__Bacteria_	99.53819586	0	61.97654609	0	0	0	0	0	0	0	0	0	233.5872271	0	66.45369586	0	0	0	0	0	27.26116061	0	30.83566122	7.894200037	0	73.6863782	0	27.97642908	6.746875684	0	0	0	14.10308975	66.92544505
ErmX__Corynebacterium_striatum_	0	0	3.198789476	0	0	40.21865434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.678500203	0	0	0	0	0	0	0	0
vgaC__Enterobacter_cloacae_	0	0	29.96276185	196.9866279	0	0	0	65.00240323	0	2.021895991	82.96107782	0	0	0	0	0	0.676428946	1.238237165	0	0	7.321942418	189.9518155	7.098857259	0	86.88176565	0	0	0	0	0	0	0	0	0
Klebsiella_mutant_PhoP_conferring_antibiotic_resistance_to_colistin__Klebsiella_pneumoniae_	0	0	15.25576519	324.0371748	0	0	969.3783086	0	0	0	0	0	287.4919718	0	0	0	0	13.23961276	108.9110386	0	11.18406589	775.6671738	0	310.9100322	438.1917788	0	0	0	0	0	0	0	1076.174233	0
Escherichia_coli_parC_conferring_resistance_to_fluoroquinolone__Escherichia_coli_str__K-12_substr__MG1655_	0	0	19.83249475	0	0	0	829.4933375	13.09468703	0	0	0	0	0	0	17.72098556	0	0	17.21149659	176.9804376	0	0	490.9156718	0	315.7680015	341.7895875	0	0	0	0	0	0	0	699.5132516	0
antibiotic_resistant_fabI__Escherichia_coli_str__K-12_substr__MG1655_	0	0	15.25576519	0	0	0	0	241.7480682	0	10.80936703	0	0	0	8.317542341	0	0	0	26.47922553	27.22775964	0	11.18406589	163.2983524	0	0	122.6936981	0	0	0	0	0	0	0	329.7953295	0
tet37__uncultured_bacterium_	0	0	15.55489784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.87135098	0	0	0	0	0	0	0	0	0
Capnocytophaga_gingivalis_gyrA_conferring_resistance_to_fluoroquinolones__Capnocytophaga_gingivalis_ATCC_33624_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.692460307	0	0	0	0	0	0	0	0	0	0	0	0	0
ACT-35__Enterobacter_cloacae_	0	26.2081859	0	0	0	0	2.126905994	0	0	41.21971961	123.8023495	0	0	4.325122017	113.0033862	0	0	0	0	0	0	3.538130968	13.15654879	0	0	0	0	0	0	0	0	4.004859096	0	0
marA__Escherichia_coli_str__K-12_substr__W3110_	0	65.52046476	0	4.875559344	0	0	4.431054153	0	0	66.35750316	166.4010075	0	0	120.1422783	251.0472955	0	0	0	0	0	0	11.05665928	13.70473832	0	0	0	0	0	0	0	0	0	0	0
LpxC__Acinetobacter_baumannii_	0	31.03600962	0	1.539650319	0	0	0	0	0	1.232647117	21.01907463	0	0	0	1.554472418	0	0	0	0	0	0	0	69.24499362	0	0	0	0	0	0	43.26396916	0	42.15641153	0	0
smeD__Stenotrophomonas_maltophilia_	0	0	0	79.78188017	0	0	0	85.31387003	0	10.64558874	77.149558	0	0	18.80487834	0	0	0	57.3716553	0	0	0	0	0	74.63607307	0	0	0	0	0	0	0	29.58134559	0	0
smeF__Stenotrophomonas_maltophilia_	0	0	0	238.5273648	0	0	0	174.3706213	0	15.49452459	146.6408878	0	0	19.93167158	0	0	0	125.5341332	0	0	0	0	0	242.1529816	0	0	0	0	0	0	0	90.73508888	0	0
Escherichia_coli_parE_conferring_resistance_to_fluoroquinolones__Proteobacteria_	0	235.8736731	0	0	0	0	0	0	0	266.9913656	778.7567149	0	0	519.0146421	1205.027018	0	0	17.21149659	0	0	0	26.53598226	0	0	0	0	0	0	0	0	0	30.03644322	0	0
Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	166.3211798	0	0	0	0	0	0	0	226.9967076	483.8429294	0	0	41.5877117	640.6817857	0	0	0	0	0	0	10.20614702	0	0	0	0	0	0	0	0	0	23.10495632	0	0
smeR__Stenotrophomonas_maltophilia_	0	0	0	2.883841484	0	0	0	97.99345576	0	14.33454949	0	0	0	24.18516297	0	0	0	9.561942551	0	0	0	0	0	175.1429988	0	0	0	0	0	0	0	18.37335622	0	0
OXY-6-3__Klebsiella_oxytoca_	0	0	0	0	0	0	334.2280847	0	0	0	0	0	0	0	0	0	0	10.92793434	53.63043565	0	0	12.63618203	0	118.2876958	119.355094	0	0	0	0	0	0	0	293.7024405	0
smeB__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	162.6915661	0	7.767535102	0	0	0	23.26806148	0	0	0	18.2546176	0	0	0	0	0	144.3510864	0	0	0	0	0	0	0	12.82963655	0	0
smeC__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	176.6260111	0	4.658180267	0	0	0	32.68987571	0	0	0	4.002673626	0	0	0	0	0	126.3072006	0	0	0	0	0	0	0	17.46304838	0	0
APH(6)-Id__Pseudomonas_aeruginosa_	2.43518522	0	0	0	0	0	0	0	0.887048453	0	53.58417763	0	0	0	0	0	0	0	0	0	0	0	18.10534237	0	0	0	0	0	0	0	0	0	0	0
APH(3__)-Ib__Pseudomonas_aeruginosa_	4.656757701	0	0	0	0	0	0	0	0	0	49.06354648	0	0	0	0	0	0	0	0	0	0	0	29.07160737	0	0	0	0	0	0	1.081599229	0	0	0	0
TEM-126__Escherichia_coli_	0	0	0	579.21645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.63072006	68.3579175	0	0	0	0	0	0	0	0	0
smeA__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	88.05048173	0	5.855073808	0	0	0	18.64276732	0	0	0	0	0	0	0	0	0	111.0632281	0	0	0	0	0	0	0	7.32596176	0	0
smeS__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	172.6117835	0	14.90382424	0	0	0	33.03912652	0	0	0	0	0	0	0	0	0	151.5686407	0	0	0	0	0	0	0	7.729967004	0	0
OprM__Pseudomonas_aeruginosa_PAO1_	0	0	0	6.979748113	0	0	0	0	0	0	0	0	0	0.94849167	0	0	0	22.04279388	0	0	0	0	0	0	2.531774722	0	0	0	0	0	0	92.04149851	0	0
MexT__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.420967398	0	0	0	0	0	0	0	0	0	1.491421385	0	0	0	10.68299788	0	0	0	0	0	0	0	0	0	0	0	0	0	45.57253454	0	3.692438348
Pseudomonas_aeruginosa_gyrA_conferring_resistance_to_fluoroquinolones__Pseudomonas_aeruginosa_PAO1_	0	0	0	10.86308836	0	0	0	0	0	0	0	0	0	0	0	0	0	65.75932421	0	5.054874811	0	0	0	0	0	1.819416746	0	0	0	0	0	139.0576075	0	0
nalD__Pseudomonas_aeruginosa_PAO1_	0	0	0	7.771240385	0	0	0	0	0	0	0	0	0	0	0	0	0	65.46680613	0	0.558387334	0	0	0	0	0	0	0	0	0.313808171	0	0	274.8415153	0	0
Escherichia_coli_CyaA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_str__K-12_substr__MC4100_	0	302.402145	0	27.0030979	0	0	12.2706115	0	0	0	0	0	0	590.5455062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexB__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	2.002371304	0	0	0	42.80107618	0	4.573458162	0	0	0	0	0	0	0	0	0	0	0	247.1252339	0	0
adeL__Acinetobacter_baumannii_	0	90.40564128	0	0	0	0	0	0	0	0	0	0	0	2.252667717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.248958561	0	0	109.2671893	0	0
MuxB__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0.72085367	0	0	0	30.40697731	0	0	0	0	0	0	0	0	0	0	0	4.212828997	0	153.3110123	0	0
antibiotic_resistant_fabG__Escherichia_coli_str__K-12_substr__MG1655_	0	0	15.25576519	13.50154895	0	0	0	10.07283617	0	0	0	0	0	241.2087279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sul1__Vibrio_fluvialis_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.438564554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.871538672	0	11.37744061	0	0
cpxA__Escherichia_coli_O157_H7_str__Sakai_	0	0	0	40.50464686	0	0	0	0	0	0	0	0	0	440.8297441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.65743448	0	0
ACI-1__Acidaminococcus_fermentans_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexC__Pseudomonas_aeruginosa_	0	0	0	2.543770092	0	0	0	0	0	0	0	0	0	0	0	0	0	24.01604176	0	0	0	0	0	0	0	0	0	0	0	0	0	140.1700683	0	0
mexK__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.659396006	0	0	0	0	0	0	0	0	0	0	0	0	0	22.96000039	0	0	0	0	0	0	0	0	0	0	0	0	0	145.8291084	0	0
mexV__Pseudomonas_aeruginosa_PAO1_	0	0	0	1.720785651	0	0	0	0	0	0	0	0	0	0	0	0	0	31.87314184	0	0	0	0	0	0	0	0	0	0	0	0	0	217.3330179	0	0
OXA-50__Pseudomonas_aeruginosa_	0	0	0	4.643389851	0	0	0	0	0	0	0	0	0	0	0	0	0	30.73481534	0	0	0	0	0	0	0	0	0	0	0	0	0	319.8324972	0	0
PDC-8__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	3.003556956	0	0	0	26.47922553	0	0	0	0	0	0	0	0	0	0	0	0	0	191.8994983	0	0
MexS__Pseudomonas_aeruginosa_PAK_	0	0	0	0.550795407	0	0	0	0	0	0	0	0	0	0	0	0	0	119.4242616	0	0	0	0	0	0	0	0	0	0	0	0	0	346.9690948	0	0
basS__Pseudomonas_aeruginosa_	0	0	0	0.601096357	0	0	0	0	0	0	0	0	0	0	0	0	0	18.58059291	0	0	0	0	0	0	0	0	0	0	0	0	0	115.4031766	0	0
FosA5__Escherichia_coli_	0	0	6.610831583	102.3867462	0	0	2.658632492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mexY__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.797267918	0	0	0	0	0	0	0	0	0	0	0	0	0	23.5064421	0	0	0	0	0	0	0	0	0	0	0	0	0	164.0879768	0	0
opmE__Pseudomonas_aeruginosa_	0	0	0	1.218889836	0	0	0	0	0	0	0	0	0	0	0	0	0	18.4408892	0	0	0	0	0	0	0	0	0	0	0	0	0	114.7225262	0	0
APH(3_)-IIb__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0.540640252	0	0	0	19.44400231	0	0	0	0	0	0	0	0	0	0	0	0	0	101.2315199	0	0
smeE__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	0	0	14.79176541	118.2322948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.97487458	0	0
adeG__Acinetobacter_baumannii_AYE_	0	123.3058747	0	0	0	0	0	0	0	0	0	0	0	3.128705163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.6240994	0	0
TriA__Pseudomonas_aeruginosa_PAO1_	0	0	0	3.191275207	0	0	0	0	0	0	0	0	0	0	0	0	0	15.64681508	0	0	0	0	0	0	0	0	0	0	0	0	0	124.5829747	0	0
TriB__Pseudomonas_aeruginosa_PAO1_	0	0	0	3.489874057	0	0	0	0	0	0	0	0	0	0	0	0	0	25.81724489	0	0	0	0	0	0	0	0	0	0	0	0	0	147.1577131	0	0
TriC__Pseudomonas_aeruginosa_PAO1_	0	0	0	3.900447475	0	0	0	0	0	0	0	0	0	0	0	0	0	42.07254722	0	0	0	0	0	0	0	0	0	0	0	0	0	193.7835046	0	0
Pseudomonas_mutant_PhoQ_conferring_resistance_to_colistin__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.490774882	0	0	0	0	0	0	0	0	0	0	0	0	0	15.8114029	0	0	0	0	0	0	0	0	0	0	0	0	0	151.516233	0	0
mexZ__Pseudomonas_aeruginosa_PAO1_	0	0	0	1.117962652	0	0	0	0	0	0	0	0	0	0	0	0	0	21.92547336	0	0	0	0	0	0	0	0	0	0	0	0	0	66.96022373	0	0
Pseudomonas_aeruginosa_soxR__Pseudomonas_aeruginosa_PAO1_	0	0	0	3.079300638	0	0	0	0	0	0	0	0	0	0	0	0	0	40.97975379	0	0	0	0	0	0	0	0	0	0	0	0	0	135.8791479	0	0
MuxA__Pseudomonas_aeruginosa_PAO1_	0	0	0	6.122795455	0	0	0	0	0	0	0	0	0	0	0	0	0	19.01269972	0	0	0	0	0	0	0	0	0	0	0	0	0	84.47749655	0	0
arnA__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.3337502	0	0	0	0	0	0	0	0	0	0	0	0	210.0518198	188.1128527	0	0
mexJ__Pseudomonas_aeruginosa_PAO1_	0	0	0	3.441571301	0	0	0	0	0	0	0	0	0	0	0	0	0	20.24881952	0	0	0	0	0	0	0	0	0	0	0	0	0	148.3507256	0	0
mexL__Pseudomonas_aeruginosa_PAO1_	0	0	0	0.776637772	0	0	0	0	0	0	0	0	0	0	0	0	0	19.03926614	0	0	0	0	0	0	0	0	0	0	0	0	0	81.07181576	0	0
nalC__Pseudomonas_aeruginosa_PAO1_	0	0	0	9.237901914	0	0	0	0	0	0	0	0	0	0	0	0	0	36.23472967	0	0	0	0	0	0	0	0	0	0	0	0	0	116.8083903	0	0
Type_A_NfxB__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.543770092	0	0	0	0	0	0	0	0	0	0	0	0	0	33.46679893	0	0	0	0	0	0	0	0	0	0	0	0	0	150.1822161	0	0
Pseudomonas_aeruginosa_emrE__Pseudomonas_aeruginosa_PAO1_	0	0	0	2.925335606	0	0	0	0	0	0	0	0	0	0	0	0	0	17.21149659	0	0	0	0	0	0	0	0	0	0	0	0	0	128.4166775	0	0
Klebsiella_pneumoniae_OmpK35__Klebsiella_pneumoniae_subsp__pneumoniae_HS11286_	0	0	1.437137301	170.3054077	0	0	0	0	1.208603517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas_aeruginosa_CpxR__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.17216485	0	0	0	0	0	0	0	0	0	0	0	0	0	238.2354797	0	0
hmrM__Haemophilus_influenzae_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.864010982	0	0	0	0	0	0	0	0	0	0	0	0	0
acrS__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
emrK__Escherichia_coli_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_acrR_with_mutation_conferring_multidrug_antibiotic_resistance__Escherichia_coli_str__K-12_substr__MG1655_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MexD__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.85586869	0	0	0	0	0	0	0	0	0	0	0	0	0	171.2604218	0	0
OprJ__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.21149659	0	0	0	0	0	0	0	0	0	0	0	0	0	65.0789603	0	0
cmx__Corynebacterium_striatum_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.625709703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.871538672	0	0	0	0
mexW__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.39190152	0	0	0	0	0	0	0	0	0	0	0	0	0	122.8763586	0	0
Klebsiella_pneumoniae_ramR_mutants__Klebsiella_pneumoniae_subsp__pneumoniae_MGH_78578_	0	0	0	221.907601	10.61029527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tet(42)__Micrococcus_sp__SMCC_G887_	0	3.120022131	0	0	0	0	0	0	4.297256948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APH(3_)-IIc__Stenotrophomonas_maltophilia_	0	0	0	0	0	0	0	0	0	1.951691269	0	0	0	0	0	0	0	0	0	0	0	0	0	91.22186709	0	0	0	0	0	0	0	0	0	0
OXA-212__Acinetobacter_johnsonii_	0	0	0	0	0	0	0	3.795561457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.002429548	0	0
Escherichia_coli_murA_with_mutation_conferring_resistance_to_fosfomycin__Escherichia_coli_ATCC_25922_	0	0	0	27.0030979	0	0	0	0	0	0	0	0	0	316.0666089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bcr-1__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.75558444	0	0	0	0	0	0	0	0	0	0	0	0	0	99.48093644	0	0
abeM__Acinetobacter_baumannii_	0	52.74397413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.3754254	0	0
mexM__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.092158755	0	0	0	0	0	0	0	0	0	0	0	0	0	44.87693439	0	0
mexN__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.19140786	0	0	0	0	0	0	0	0	0	0	0	0	0	160.9095172	0	0
mexP__Pseudomonas_aeruginosa_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.74014103	0	0	0	0	0	0	0	0	0	0	0	0	0	148.2568031	0	0
mexR__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.59821616	0	0	0	0	0	0	0	0	0	0	0	0	0	133.4953032	0	0
MexA__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.42299318	0	0	0	0	0	0	0	0	0	0	0	0	0	231.0495632	0	0
Pseudomonas_mutant_PhoP_conferring_resistance_to_colistin__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79.43767658	0	0	0	0	0	0	0	0	0	0	0	0	0	427.4416919	0	0
PmpM__Pseudomonas_aeruginosa_PAO1_	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.90485638	0	0	0	0	0	0	0	0	0	0	0	0	0	108.4649338	0	0
